ID,CSA2010,Percent of Residents - Black/African-American (Non-Hispanic),Percent of Residents - White/Caucasian (Non-Hispanic),Percent of Residents - Asian (Non-Hispanic),Percent of Residents - Two or More Races (Non-Hispanic),"Percent of Residents - All Other Races (Hawaiian/ Pacific Islander, Alaskan/ Native American Other Race) (Non-Hispanic)",Percent of Residents - Hispanic,Racial Diversity Index,Percent of Population  Under 5 years old,Percent of Population 5-17 years old,Percent of Population 18-24 years old,Percent of Population 25-64 Years old,Percent of Population 65 Years and over,Percent of Female-Headed Households with Children Under 18,Percent of Households with Children Under 18,Median Household Income,"Percent of Households Earning Less than $25,000","Percent of Households Earning $25,000 to $40,000","Percent of Households Earning $40,000 to $60,000","Percent of Households Earning $60,000 to $75,000","Percent of Households Earning More than $75,000",Percent of Family Households Living Below the Poverty Line,Percent of Children Living Below the Poverty Line,Median Price of Homes Sold,Median Number of Days on the Market,Number of Homes Sold,Percentage of Housing Units that are Owner-Occupied,Percentage of Properties Under Mortgage Foreclosure,Percentage of Residential Properties that are Vacant and Abandoned,Percentage of Residential Properties with Housing Violations (Excluding Vacants),"Percentage of Properties with Rehabilitation Permits Exceeding $5,000",Total Number of Residential Properties,Percentage of Residential Sales for Cash,Percentage of Residential Sales in Foreclosure (REO),Percentage of Residential Tax Lien Sales,"Number of Demolition Permits per 1,000 Residential Properties","Number of New Construction Permits per 1,000 Residential Properties",Percentage of Vacant Properties Owned by Baltimore City,Affordability Index - Mortgage,Affordability Index - Rent,"Number of Historic Tax Credits per 1,000 Residential Units","Number of Homestead Tax Credits per 1,000 Residential Units","Number of Homeowner's Tax Credits per 1,000 Residential Units",Percent Residential Properties that do Not Receive Mail,"Part 1 Crime Rate per 1,000 Residents","Violent Crime Rate per 1,000 Residents","Property Crime Rate per 1,000 Residents","Number of Shootings per 1,000 Residents","Number of Gun-Related Homicides per 1,000 Residents","Number of Common Assault Calls for Service per 1,000 Residents","Number of Narcotics Calls for Service per 1,000 Residents","Number of Automobile Accident Calls for Service per 1,000 Residents",Percentage of Population aged 16-19 in School and/or Employed,"Teen Pregnancy Rate per 1,000 Females (aged 15-19)",Percent of Births Delivered at Term (37-42 Weeks),Percent of Babies Born with a Satisfactory Birth Weight,Percent of Births Where the Mother Received Early Prenatal Care (First Trimester),Percent of Families Receiving TANF,"Liquor Outlet density (per 1,000 Residents)",Life Expectancy,Infant Mortality Rate,Mortality by Age (1-14 Years old),Mortality by Age (15-24 Years old),Mortality by Age (25-44 Years old),Mortality by Age (45-64 Years old),Mortality by Age (65-84 Years old),Mortality by Age (85 and over),"Number of Persons with Library Cards per 1,000 Residents","Number of Event Permits Requested per 1,000 Residents","Number of Businesses that are Arts-Related per 1,000 Residents",Total Employment in Arts-Related Businesses,Percent Population 16-64 Employed,Percent Population 16-64 Unemployed and Looking for Work,Percent Population 16-64 Not in Labor Force,Unemployment Rate,Percent Population (25 Years and over) With Less Than a High School Diploma or GED,Percent Population (25 Years and over) With High School Diploma and Some College or Associates Degree,Percent Population (25 Years and over) with a Bachelor's Degree or Above,Total Number of Commercial Properties,"Percent of Commercial Properties with Rehab Permits Above $5,000",Total Number of Businesses,Total Number of Employees,Number of Businesses with Under 50 Employees,Total Dollar Amount Invested in Small Businesses per 50 Businesses,"Number of Banks and Bank Branches per 1,000 Residents",Percent of Businesses that are 1 Year old or less,Percent of Businesses that are 2 Years old or less,Percent of Businesses that are 4 Years old or less,Percent of Households with No Internet at Home,Number of Businesses by Selected Neighborhood Industry (NAICS Sectors),"Neighborhood Businesses per 1,000 Residents (NAICS Sectors)",Total number of Employees by Selected Neighborhood Industry (NAICS Sectors),"Rate of Dirty Streets and Alleys Reports per 1,000 Residents","Rate of Clogged Storm Drain Reports per 1,000 Residents",Percent of Population that Drove Alone to Work,Percent of Population that Carpool to Work,Percent of Population that Uses Public Transportation to Get to Work,Percent of Population that Walks to Work,Percent of Employed Population with Travel Time to Work of 0-14 Minutes,Percent of Employed Population with Travel Time to Work of 15-29 Minutes,Percent of Employed Population with Travel Time to Work of 30-44 Minutes,Percent of Employed Population with Travel Time to Work of 45 Minutes and Over,Percent of Area Covered by Trees,Percent of Residences Heated by Utility Gas,Percent of Residences Heated by Electricity,Percent of Households with No Vehicles Available,Walk Score,"Number of daily bus stop loadings per 1,000 residents","Percent of Population Using Other Means to Commute to Work (Taxi, Motorcycle, Bicycle, Other)",Number of Trees of Planted,"Rate of Housing Vouchers per 1,000 Rental Units","Rate of Businesses in the Creative Economy per 1,000 Residents",Number of Employees in the Creative Economy,"Rate of Street Light Outages per 1,000 Residents"
1,Allendale/Irvington/S. Hilton,90.28458687,6.534736339,0.1135956,1.00442425,0,2.062656941,20.11527386,6.612459644,17.37414803,9.003945952,53.28829367,13.7211527,71.12970711,35.1988218,39495.62847,32.98969072,17.7221404,19.91490754,11.94567174,17.42758959,20.69506141,32.77052955,55000.00,33,161,55.52821234,1.458956,5.6952,4.148356477,2.460889436,5689,64.19753086,1.234567901,6.48409894,0.703111267,0,1.234567901,43.4559851,45.89675711,,122.1655827,66.97135,10.25019147,61.10871308,19.36239748,39.77307763,5.42640439,0.98661898,85.83585127,91.44724672,83.06098539,89.01200369,29.05,86.8852459,87.43169399,59.56,9.581138701,0.7,69.6,10.4,4.5,18.2,45.5,140.5,453.8,1257.7,229.8822224,0.616636863,0.061663686,10,60.2484472,10.89696748,28.85458531,15.31647195,19.61991435,70.458601,9.921484654,278,10.07194245,182,2112,169,339011.00,0,3.846153846,20.32967033,29.12087912,30.63328424,113,6.967996547,972,60.30708516,3.94647592,60.54062217,16.17336152,19.87315011,1.615826034,15.05587436,40.04832377,24.64512232,20.25067955,32.37291283,65.12845688,23.6622484,29.65144821,56.396,440.279,1.797040169,3,226.6710788,0.061663686,1,33.36005426
2,Beechfield/Ten Hills/West Hills,75.31924427,18.85594802,0.418191323,3.308192069,0.313643492,1.784780823,41.0176119,7.930699724,14.57695467,9.708012844,55.36554402,12.41878874,55.18731988,26.14428329,57572.50275,20.41815785,13.90092296,18.17668111,10.86833679,36.6359013,10.47490738,23.91675196,139950.00,28,174,77.2172949,1.635255,0.9701,2.743902439,3.852549889,3608,25.92592593,0.462962963,2.798559158,0,0,5.714285714,33.64806867,42.9154757,0.831485588,283.8137472,65.4102,3.138297872,44.43900848,11.00782779,32.61578604,0.32615786,0.081539465,48.02674494,38.56816699,52.59295499,72.54196643,16.04,87.68115942,88.4057971,60.87,3.858418367,0.1,73.4,8.9,1.8,11.7,26.4,96.1,386.1,1841.3,178.0821918,0.489236791,0.081539465,4,68.40293203,5.752998667,25.8440693,7.757975139,9.782967941,65.58334251,24.63368955,45,6.666666667,127,1595,118,331890.00,0.081539465,3.937007874,18.8976378,25.19685039,27.48163496,74,6.033920417,685,18.26484018,3.913894325,73.02015553,14.77543247,10.47452785,1.444215204,11.83939057,43.4375496,25.64672274,19.07633709,48.69697385,68.73234131,21.20926728,18.51572801,39.359,238.177,0.285668941,69,111.0657411,0.244618395,8,28.78343118
3,Belair-Edison,85.65017261,10.0287687,0.569620253,1.69735328,0.81127733,1.242807825,27.25599788,5.420023015,22.80782509,8.406214039,54.45339471,8.912543153,77.52905725,38.27018122,39624.48208,34.10214168,16.276771,20.06589786,8.105436573,21.44975288,20.2745771,34.55562461,59075.00,28.5,208,58.0711789,2.287893,3.7496,5.322529393,3.050524309,6294,53.62318841,2.898550725,4.511517077,0,0,1.271186441,40.08248969,68.14159292,0.158881474,256.4346997,64.347,9.366815591,61.89710611,19.2926045,41.51355076,3.502526412,0.516766192,66.49058337,48.63344051,69.76343592,92.78242678,21.62,79.67914439,82.35294118,63.64,6.32183908,0.4,70.5,6.6,2.8,20,35.4,118.8,474.1,1858.3,337.7928342,0.574184658,0.114836932,12,54.62250961,9.594547361,35.78294303,14.94080827,16.88005085,66.46690275,16.6530464,164,15.85365854,151,1302,141,500662.00,0.114836932,5.960264901,17.8807947,22.51655629,26.68863262,115,6.603123565,717,76.42397795,2.928341755,58.49056604,9.288824383,29.22109337,1.064344461,8.869537171,34.91372359,23.20593453,33.01080471,20.82712492,76.3261944,13.82207578,34.64579901,67.667,356.282,1.935171746,182,373.6052328,0.40192926,28,27.73311897
4,Brooklyn/Curtis Bay/Hawkins Point,37.96124031,39.68217054,2.527131783,3.612403101,1.310077519,14.90697674,73.92673428,10.90697674,16.09302326,8.248062016,57.4496124,7.302325581,43.39360223,32.32187008,40275.27533,31.40031468,18.31872331,18.52101596,9.08069229,22.67925376,24.21360644,46.40995947,52000.00,32,155,40.32902468,1.621622,7.0505,4.582843713,1.128084606,4255,69.30693069,2.97029703,7.02867889,0,0.235017626,0.666666667,23.49726776,51.49359886,,113.0434783,49.3537,14.61313114,98.50452854,29.90942919,67.4717405,6.038053781,0.842519132,140.4900653,127.3608088,78.14364951,70.93663912,68.56,86.81318681,89.74358974,61.17,9.408519767,1.2,69.2,11,2.5,14.4,34.2,158.4,516.4,1328,272.3443095,0.210629783,0.140419855,25,59.38285714,8.754285714,31.86285714,12.84803757,27.5709326,64.00095774,8.428109661,757,4.095112285,343,5380,312,2160522.00,0.140419855,2.623906706,18.36734694,27.696793,34.14250393,177,12.4271572,1590,82.28603525,7.372042407,58.35440576,16.30033067,21.31880957,3.404007003,12.56564871,33.82610387,29.06049407,24.54775336,14.6318578,61.3845808,32.07462351,33.13104068,19.737,384.68,0.622446995,459,66.50071124,0.351049638,47,22.18633715
5,Canton,3.939466731,85.57530627,4.383857795,2.450156137,0.564496757,3.08671631,26.30542355,5.248618785,3.122748018,5.84914725,75.24621667,10.53326928,10.55045872,11.02959777,111891.2518,7.412092082,7.816847964,9.182899064,6.425499621,69.16266127,3.661784288,4.017216643,306500.00,25,327,66.88954928,0.47053,0.421,0.792471521,8.023774146,4038,14.43850267,0,1.040376517,0,0.24764735,0,20.20148462,28.25229961,72.0653789,249.3808816,53.24418,4.879506074,43.95061728,10.37037037,33.45679012,0.37037037,0.12345679,31.60493827,5.185185185,56.66666667,100,0,95.12195122,96.74796748,82.93,0.291120815,4.1,79.8,4.8,0,0,4.7,66.8,356.9,1092.1,269.2592593,7.777777778,0.617283951,9,87.28988499,2.138012386,10.02654084,2.390766694,4.1725007,25.65107813,70.17642117,204,25.98039216,316,2674,289,2454866.00,0.49382716,4.430379747,24.36708861,32.59493671,9.258790792,219,27.03703704,1719,42.59259259,7.777777778,81.79790702,6.759306914,3.190941843,4.494767542,17.77320295,39.64659461,28.61554297,13.96465946,12.51661885,62.10473058,33.3164685,4.502909183,87.762,62.4691,3.757076686,8,10.51248357,2.098765432,814,34.69135802
6,Cedonia/Frankford,80.56640625,11.71450408,3.549592391,0.777004076,0.067934783,3.324558424,35.91718793,6.237262228,15.48913043,8.958899457,59.31131114,10.00339674,43.71544416,29.55337691,41625.59169,26.22004357,22.33115468,17.45098039,8.867102397,25.13071895,12.18214075,19.96381182,112750.00,26,319,71.34456453,2.240941,1.335,2.701843611,4.10044501,6292,35.3221957,0.954653938,3.402225755,0.317863954,0.794659886,2.380952381,39.44877506,54.77651183,,299.4278449,75.49269,4.836178144,59.26051704,15.62168358,42.78982893,1.61310863,0.424502271,55.10039479,34.2997835,57.90210978,90.25578563,27.3,86.82432432,85.81081081,63.85,6.46914446,0.7,72.2,11.9,4.1,9.6,32.1,108,451.4,1312,233.0941971,0.212251136,0.127350681,12,68.20447362,6.254558716,24.86627766,8.4,13.53139357,68.51454824,17.95405819,234,13.67521368,300,2412,285,440167.00,0.169800908,5.333333333,18.66666667,31,21.2745098,218,9.25414951,1513,19.06015197,2.844165216,70.9925011,8.142920159,16.81517424,0.961623291,9.051610057,37.01808558,34.77723864,19.15306573,29.91360367,73.22440087,20.708061,22.7124183,62.202,307.934,3.087781209,,145.9246275,0.29715159,18,28.27185125
7,Cherry Hill,87.46901339,4.362915221,0.929598413,1.425384234,0,5.813088746,30.2771398,8.316807139,27.19385226,9.134853743,45.57511155,9.77937531,75.6201882,38.95368211,24250.97445,50.68310563,17.89403532,14.02865711,3.765411529,13.6287904,39.33701657,56.78796361,45000.00,36.5,11,46.09137056,0.913706,5.5838,4.873096447,0.913705584,985,77.77777778,0,7.817258883,0,0,3.636363636,26.92307692,48.92787524,,277.1573604,71.06599,4.429044893,66.93489393,26.70080468,38.77103146,6.461838576,0.243842965,101.1948305,46.69592782,46.57400634,80.42226488,25.94,89.88095238,86.30952381,55.95,17.00680272,0.1,70,17.3,2.5,16.1,33.8,135.4,487.1,1250,411.1192392,1.219214826,0.365764448,21,50.97201453,6.494338816,42.53364666,11.30111524,17.98029557,71.58531124,10.43439319,93,9.677419355,136,2557,125,447059.00,0,8.823529412,27.20588235,34.55882353,38.58713762,93,11.33869788,1958,13.53328456,4.511094855,53.61842105,13.56907895,26.19243421,6.167763158,18.87335526,29.81085526,27.50822368,23.80756579,20.8275502,62.71242919,32.78907031,52.08263912,46.673,541.819,0.452302632,226,80.31189084,0.609607413,31,4.633016337
8,Chinquapin Park/Belvedere,68.82840237,20.79289941,1.822485207,2.615384615,0,5.940828402,51.03166503,5.940828402,14.94674556,7.479289941,58.74556213,12.88757396,42.23013049,25.33814247,54249.575,23.71505861,14.30718365,17.85392245,8.025247971,36.09858732,10.12591815,23.1621937,145000.00,40.5,128,67.10037175,1.189591,1.5985,2.342007435,2.899628253,2690,33.33333333,1.587301587,2.936802974,0,0,0,37.54410727,42.03921569,,346.8401487,62.82528,10.03056405,42.41877256,10.57246003,31.45951521,1.547189273,0,41.64517793,28.88086643,54.92521919,80.76923077,21.1,88.0952381,88.0952381,65.48,4.305705059,0.6,75.3,16.7,0,9,17.4,86.8,378.6,1576.5,248.7106756,0.515729758,0.257864879,4,73.34843995,9.987798501,16.66376155,11.98494039,7.434330084,58.41731373,34.14835619,56,14.28571429,127,1038,119,1154393.00,0.257864879,5.511811024,22.83464567,32.28346457,17.19266607,88,11.34605467,704,23.59463641,2.19185147,67.63020184,12.6339397,15.77373536,2.143035136,11.81161226,42.58659357,28.23324196,17.36855221,39.54942254,71.59603246,19.35677788,16.35106703,74.529,420.32,1.819087964,24,170.9803922,0.644662197,82,30.81485302
9,Claremont/Armistead,55.71413242,24.14422148,0.193153772,4.088421504,0.611653611,15.24841721,67.28244699,10.74149587,20.43137676,9.099688808,51.2608649,8.466573667,55.77072037,36.75968109,34792.61927,36.04783599,20.30182232,22.66514806,5.267653759,15.71753986,24,34.61538462,88820.00,41,28,83.80158033,0.351185,0.2195,0.965759438,2.019315189,2278,43.24324324,5.405405405,1,0.438981563,0,0,46.78899083,51.27860027,,98.77085162,8.34065,3.115199665,62.93281497,15.7939497,45.80245414,0.850443446,0,67.1850322,13.24261937,106.7913984,68.37606838,33.83,87.96992481,86.46616541,57.89,7.255676209,0.7,70.5,12.7,1.1,8.4,23.6,145,537.1,1585.4,234.4794071,0.850443446,0.121491921,2,65.26737502,10.08535098,24.26406549,13.38418863,20.01437298,66.67265541,13.31297161,227,12.7753304,158,2575,142,2111709.00,0,3.797468354,11.39240506,17.08860759,30.32460137,77,9.354877901,882,21.26108614,1.700886891,65.26867628,13.81389253,17.56225426,1.887287025,18.19134993,36.64482307,21.67758847,23.48623853,29.38140435,72.12414579,23.86104784,26.22437358,38.127,261.694,1.467889908,3,219.3808883,0.364475762,94,24.29838416
10,Clifton-Berea,93.66406336,2.36497635,0.41799582,1.45198548,0.06599934,2.03497965,14.57810254,5.433945661,18.4798152,8.788912111,52.13947861,15.15784842,63.77491208,26.57320872,32288.6988,39.59501558,19.81308411,17.38317757,6.728971963,16.47975078,27.64952781,47.9245283,42786.00,25,67,29.58656331,0.990525,26.5719,9.151593454,1.830318691,4644,87.35632184,3.448275862,10.7227616,12.48923342,0,13.20907618,48.75621891,58.17610063,0.645994832,79.67269595,29.71576,14.25084491,67.75369658,25.11646749,41.52319222,7.798258051,1.012760786,98.33907231,209.8440348,99.14928094,79.39508507,25.71,77.69230769,78.46153846,55.38,16.9646751,1.3,67.6,20.6,2.1,18.6,48.7,190.3,394.3,1526.6,299.0682601,0.911484707,0,0,54.96001361,12.02994725,32.95899268,17.95783592,21.91892775,67.70186335,10.37920889,148,16.21621622,106,966,99,365094.00,0,2.830188679,24.52830189,31.13207547,34.89096573,78,7.89953413,505,167.2068058,5.165080008,46.23392529,9.797917942,33.95590937,7.103490508,13.77832211,38.94672382,22.41273729,24.86221678,8.625831316,61.86915888,23.64485981,44.79750779,72.219,482.783,2.908756889,257,235.8490566,0.101276079,28,38.7887381
11,Cross-Country/Cheswolde,19.93347772,73.40655941,3.372524752,0.123762376,0.502784653,2.660891089,41.639259,9.815903465,16.61509901,9.568378713,44.84065594,19.15996287,18.4,27.65486726,56167.0479,18.7851971,18.04102977,15.74818986,11.5848753,35.84070796,9.894121942,13.02545885,172500.00,37,170,82.40328655,0.479288,0.0685,0.855871277,4.655939747,2921,47.82608696,0,1.061280383,0,0.342348511,0,39.22413793,44.48246364,0.342348511,529.9554947,56.14516,1.265164645,20.02455117,2.838729477,17.1858217,0,0,12.50575418,1.841338039,17.95304588,98.3713355,0,93.31103679,94.98327759,62.54,1.332445037,0,85,4.1,0.7,3.3,14.2,48.2,185,891.6,116.0810189,0.076722418,0.537056928,16,68.32196453,4.229195089,27.44884038,5.82925912,7.070340827,39.85980179,53.06985738,27,22.22222222,176,898,160,1723295.00,0,6.818181818,24.43181818,31.81818182,15.98954143,103,7.902409084,462,3.14561915,1.227558693,76.59022931,12.00398804,8.295114656,2.771684945,18.78364905,41.81455633,20.99700897,18.40478564,47.52835617,61.42397426,34.79485117,12.40949316,43.987,75.8785,0.338983051,,38.49443969,0.920669019,19,21.94261163
12,Dickeyville/Franklintown,80.59501474,9.541677834,1.661752881,5.601715358,0.804073975,1.79576521,36.35379904,14.84856607,9.112838381,10.02412222,54.43580809,11.57866524,68.8372093,24.71264368,41463.12195,38.10344828,9.827586207,19.25287356,8.735632184,24.08045977,17.40890688,34.45190157,230000.00,30,25,63.66459627,0.621118,1.5528,2.795031056,4.347826087,322,13.04347826,0,3.405572755,0,0,0,21.3836478,52.62807718,6.211180124,226.7080745,65.21739,1.609935603,32.91880029,9.02218971,21.94586686,1.219214826,0,56.32772495,17.55669349,90.70958303,85.05747126,14.08,93.33333333,95,65,3.657262278,0,74.4,9.3,0,3.1,19.9,115.1,397.4,1348.8,152.6456962,0.975371861,0.731528895,35,69.9089404,2.524834437,27.56622517,3.485714286,8.44498579,65.8952497,25.65976451,30,6.666666667,36,817,33,491667.00,0,5.555555556,27.77777778,36.11111111,30.68965517,23,5.608388198,710,8.778346745,0.975371861,69.60093897,13.67370892,13.38028169,2.05399061,5.164319249,37.73474178,29.04929577,28.05164319,72.91631353,64.88505747,28.96551724,29.59770115,26.096,171.909,1.291079812,,69.19494345,0.731528895,3,13.16752012
13,Dorchester/Ashburton,95.95103578,1.070022256,0.171203561,1.472350625,0.3509673,0.984420476,9.687104824,6.360212292,17.83085088,6.728299949,51.35250813,17.72812875,64.61038961,28.97460019,43640.57609,27.53998119,19.30856068,18.67356538,7.737535278,26.74035748,17.44510978,43.49276974,103000.00,41,185,64.54066706,2.106495,3.4523,6.465769456,6.875365711,3418,35.98130841,0.934579439,5.763604447,1.755412522,0,0.847457627,39.61267606,57.33173077,0.585137507,416.6179052,92.15916,7.057129141,57.18649245,15.95112846,39.62328186,3.309010691,0.763617852,68.21652808,112.7609028,62.44697098,98.18181818,16.43,88.98305085,90.6779661,57.63,5.296167247,0.2,71.7,10,1.1,24.5,38.5,135.5,359.7,1584.8,227.3035805,0.509078568,0,0,56.30264097,10.37830121,33.31905782,15.56411903,15.92317224,64.74597274,19.33085502,116,23.27586207,138,1141,128,353986.00,0,5.072463768,18.84057971,34.05797101,32.40827846,94,7.975564229,661,28.5083998,1.442389275,66.85625646,3.80041365,25.38779731,2.094105481,9.901758014,39.42605998,30.94622544,19.72595657,29.55301918,73.54186265,15.12229539,28.7158984,62.589,339.895,1.861427094,,163.4615385,0,21,26.72662481
14,Downtown/Seton Hill,29.02188887,43.9614266,16.25593143,1.607224858,4.194091535,4.959436706,69.32252099,1.729680086,3.535894689,18.47543242,71.26894229,4.990050513,73.2718894,6.149050723,53762.87456,28.87503542,8.841031454,17.28534996,14.9334089,30.06517427,6.818181818,13.37209302,207000.00,44,45,39.74175036,1.147776,11.9082,8.895265423,6.025824964,697,24.48979592,0,9.742120344,7.173601148,2.869440459,33.73493976,50.23041475,48.29545455,27.25968436,137.733142,10.04304,1.98101527,270.8656531,80.98045299,185.3862861,11.01458269,0.775674837,381.01148,164.2879305,513.4967422,94.23076923,54.35,92.85714286,91.42857143,70,6.864064603,5.3,65.7,13,20.7,2.9,18.4,165,776.3,1615.4,345.4855724,29.01023891,6.515668632,657,65.175394,2.626673445,32.19793255,3.874031492,6.623845845,25.17061421,68.20553994,1181,25.14817951,2619,91319,2375,858519.00,3.257834316,7.178312333,28.86597938,36.76975945,11.27798243,1954,303.1337263,60141,60.65777226,10.39404282,38.4802596,4.218496485,15.60302866,38.88588426,31.17901568,38.07463494,19.28069227,11.46565711,7.357697764,30.34854066,64.63587419,38.962879,95.702,10379.6,2.81233099,23,104.1666667,15.20322681,2144,46.69562519
15,Edmondson Village,95.75980392,1.348039216,0,0.796568627,0.784313725,1.31127451,8.375595842,7.450980392,16.11519608,9.105392157,51.67892157,15.6495098,62.21294363,33.72052094,41642.11337,24.63921155,23.37205209,25.0967969,10.06687786,16.8250616,8.887733888,25.28059861,73500.00,27,119,61.57652881,1.94415,3.853,5.019441499,3.534817957,2829,41.61073826,2.684563758,5.054789678,0,0,4.587155963,43.34203655,64.45147679,,399.7879109,101.80276,7.548928239,51.51898734,14.17721519,36.32911392,3.164556962,0.632911392,58.2278481,54.30379747,84.55696203,85.48387097,24.69,79.7752809,82.02247191,56.18,8.666017527,0.1,70.7,4.2,2.9,17.5,43.2,131.6,402.7,1794.1,321.6455696,0.506329114,0.126582278,7,66.93485086,9.203296703,23.86185243,12.08762887,14.21550783,72.98871496,12.79577721,33,24.24242424,47,379,44,232979.00,0,4.255319149,29.78723404,42.55319149,29.70784935,31,3.924050633,160,43.03797468,1.772151899,51.69516952,15.81158116,30.1230123,1.200120012,8.370837084,33.15331533,31.02310231,27.45274527,54.94391826,60.11967617,25.87117212,25.94156987,54.316,195.696,1.170117012,,224.6835443,0.126582278,9,43.92405063
